2026-09-13T12:35:47.000 | Line 1 | Product 1 | START
2026-09-13T12:35:47.000 | Line 2 | Product 1 | START
2026-09-13T12:35:47.000 | Line 3 | Product 1 | START
2026-09-13T12:35:47.000 | Line 4 | Product 1 | START
2026-09-13T12:37:16.900 | Line 1 | Product 1 | FINISHED
2026-09-13T12:37:16.900 | Line 2 | Product 1 | FINISHED
2026-09-13T12:37:16.900 | Line 3 | Product 1 | FINISHED
2026-09-13T12:37:16.900 | Line 4 | Product 1 | FINISHED
2026-09-13T12:37:17.000 | Line 1 | Product 2 | START
2026-09-13T12:37:17.000 | Line 2 | Product 2 | START
2026-09-13T12:37:17.000 | Line 3 | Product 2 | START
2026-09-13T12:37:17.000 | Line 4 | Product 2 | START
2026-09-13T12:38:46.900 | Line 1 | Product 2 | FINISHED
2026-09-13T12:38:46.900 | Line 2 | Product 2 | FINISHED
2026-09-13T12:38:46.900 | Line 3 | Product 2 | FINISHED
2026-09-13T12:38:46.900 | Line 4 | Product 2 | FINISHED
2026-09-13T12:38:47.000 | Line 1 | Product 3 | START
2026-09-13T12:38:47.000 | Line 2 | Product 3 | START
2026-09-13T12:38:47.000 | Line 3 | Product 3 | START
2026-09-13T12:38:47.000 | Line 4 | Product 3 | START
2026-09-13T12:40:16.900 | Line 1 | Product 3 | FINISHED
2026-09-13T12:40:16.900 | Line 2 | Product 3 | FINISHED
2026-09-13T12:40:16.900 | Line 3 | Product 3 | FINISHED
2026-09-13T12:40:16.900 | Line 4 | Product 3 | FINISHED
2026-09-13T12:40:17.000 | Line 1 | Product 4 | START
2026-09-13T12:40:18.700 | Line 2 | Product 4 | START
2026-09-13T12:40:18.700 | Line 3 | Product 4 | START
2026-09-13T12:40:18.700 | Line 4 | Product 4 | START
2026-09-13T12:41:46.900 | Line 1 | Product 4 | FINISHED
2026-09-13T12:41:48.600 | Line 2 | Product 4 | FINISHED
2026-09-13T12:41:48.600 | Line 3 | Product 4 | FINISHED
2026-09-13T12:41:48.600 | Line 4 | Product 4 | FINISHED
2026-09-13T12:41:48.700 | Line 1 | Product 5 | START
2026-09-13T12:41:49.500 | Line 2 | Product 5 | START
2026-09-13T12:41:49.500 | Line 3 | Product 5 | START
2026-09-13T12:41:49.500 | Line 4 | Product 5 | START
2026-09-13T12:43:18.600 | Line 1 | Product 5 | FINISHED
2026-09-13T12:43:19.400 | Line 2 | Product 5 | FINISHED
2026-09-13T12:43:19.400 | Line 3 | Product 5 | FINISHED
2026-09-13T12:43:19.400 | Line 4 | Product 5 | FINISHED
2026-09-13T12:43:19.500 | Line 1 | Product 6 | START
2026-09-13T12:43:19.900 | Line 2 | Product 6 | START
2026-09-13T12:43:19.900 | Line 3 | Product 6 | START
2026-09-13T12:43:19.900 | Line 4 | Product 6 | START
2026-09-13T12:44:49.400 | Line 1 | Product 6 | FINISHED
2026-09-13T12:44:49.800 | Line 2 | Product 6 | FINISHED
2026-09-13T12:44:49.800 | Line 3 | Product 6 | FINISHED
2026-09-13T12:44:49.800 | Line 4 | Product 6 | FINISHED
2026-09-13T12:44:49.900 | Line 1 | Product 7 | START
2026-09-13T12:44:50.200 | Line 2 | Product 7 | START
2026-09-13T12:44:50.200 | Line 3 | Product 7 | START
2026-09-13T12:44:50.200 | Line 4 | Product 7 | START
2026-09-13T12:46:19.800 | Line 1 | Product 7 | FINISHED
2026-09-13T12:46:20.100 | Line 2 | Product 7 | FINISHED
2026-09-13T12:46:20.100 | Line 3 | Product 7 | FINISHED
2026-09-13T12:46:20.100 | Line 4 | Product 7 | FINISHED
2026-09-13T12:46:20.200 | Line 1 | Product 8 | START
2026-09-13T12:46:20.400 | Line 2 | Product 8 | START
2026-09-13T12:46:20.400 | Line 3 | Product 8 | START
2026-09-13T12:46:20.400 | Line 4 | Product 8 | START
2026-09-13T12:47:50.100 | Line 1 | Product 8 | FINISHED
2026-09-13T12:47:50.300 | Line 2 | Product 8 | FINISHED
2026-09-13T12:47:50.300 | Line 3 | Product 8 | FINISHED
2026-09-13T12:47:50.300 | Line 4 | Product 8 | FINISHED
2026-09-13T12:47:50.400 | Line 1 | Product 9 | START
2026-09-13T12:47:51.300 | Line 2 | Product 9 | START
2026-09-13T12:47:51.700 | Line 3 | Product 9 | START
2026-09-13T12:47:52.200 | Line 4 | Product 9 | START
2026-09-13T12:49:20.300 | Line 1 | Product 9 | FINISHED
2026-09-13T12:49:21.200 | Line 2 | Product 9 | FINISHED
2026-09-13T12:49:21.600 | Line 3 | Product 9 | FINISHED
2026-09-13T12:49:22.100 | Line 4 | Product 9 | FINISHED
2026-09-13T12:49:22.200 | Line 1 | Product 10 | START
2026-09-13T12:49:24.000 | Line 2 | Product 10 | START
2026-09-13T12:49:24.900 | Line 3 | Product 10 | START
2026-09-13T12:49:26.100 | Line 4 | Product 10 | START
2026-09-13T12:50:52.100 | Line 1 | Product 10 | FINISHED
2026-09-13T12:50:53.900 | Line 2 | Product 10 | FINISHED
2026-09-13T12:50:54.800 | Line 3 | Product 10 | FINISHED
2026-09-13T12:50:56.000 | Line 4 | Product 10 | FINISHED
2026-09-13T12:50:56.100 | Line 1 | Product 11 | START
2026-09-13T12:50:59.000 | Line 2 | Product 11 | START
2026-09-13T12:51:00.700 | Line 3 | Product 11 | START
2026-09-13T12:51:02.400 | Line 4 | Product 11 | START
2026-09-13T12:52:26.000 | Line 1 | Product 11 | FINISHED
2026-09-13T12:52:28.900 | Line 2 | Product 11 | FINISHED
2026-09-13T12:52:30.600 | Line 3 | Product 11 | FINISHED
2026-09-13T12:52:32.300 | Line 4 | Product 11 | FINISHED
2026-09-13T12:52:32.400 | Line 1 | Product 12 | START
2026-09-13T12:52:37.000 | Line 2 | Product 12 | START
2026-09-13T12:52:40.100 | Line 3 | Product 12 | START
2026-09-13T12:52:42.400 | Line 4 | Product 12 | START
2026-09-13T12:54:02.300 | Line 1 | Product 12 | FINISHED
2026-09-13T12:54:06.900 | Line 2 | Product 12 | FINISHED
2026-09-13T12:54:10.000 | Line 3 | Product 12 | FINISHED
2026-09-13T12:54:12.300 | Line 4 | Product 12 | FINISHED
2026-09-13T12:54:12.400 | Line 1 | Product 13 | START
2026-09-13T12:54:21.900 | Line 2 | Product 13 | START
2026-09-13T12:54:27.700 | Line 3 | Product 13 | START
2026-09-13T12:54:31.000 | Line 4 | Product 13 | START
2026-09-13T12:55:42.300 | Line 1 | Product 13 | FINISHED
2026-09-13T12:55:51.800 | Line 2 | Product 13 | FINISHED
2026-09-13T12:55:57.600 | Line 3 | Product 13 | FINISHED
2026-09-13T12:56:00.900 | Line 4 | Product 13 | FINISHED
2026-09-13T12:56:01.000 | Line 1 | Product 14 | START
2026-09-13T12:56:15.300 | Line 2 | Product 14 | START
2026-09-13T12:56:18.600 | Line 3 | Product 14 | START
2026-09-13T12:56:30.100 | Line 4 | Product 14 | START
