time_s,phase,conveyor_velocity_mps,st1_s0_arrival,st1_s1_part_a_seated,st1_s2_part_b_seated,st1_s3_alignment_ok,st2_s0_assembly_present,st2_s1_screw_loaded,st2_s2_assembly_exit,torque_nm,screw_angle_deg,st3_s0_arrival,st3_s1_check,st3_s2_check,st3_s3_check,st3_s4_check,st3_s5_check,st3_s6_check
0.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
0.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
1.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
2.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
3.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
